subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
5.0,-176.24125371483842,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.39999999999997726,1.4026199468942473
5.0,-204.98516829082848,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.100000000000023,0.8415813951089858
5.0,-57.729082866818544,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.5,0.24420134200323332
5.0,-58.472997442808605,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.899999999999977,0.10897736909928588
5.0,-105.21691201879867,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,15.0,0.3531787111025192
5.0,-61.96082659478873,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,18.69999999999999,0.05448868454964294
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5.0,-41.39997235468911,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,0.30000000000001137,0.0
5.0,-30.143886930679173,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.8999999999999773,0.29869002655287624
5.0,74.11219849333077,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.199999999999989,0.4571086314438904
5.0,807.3682839173407,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,10.5,0.05448868454964294
5.0,-101.37563065864936,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,13.699999999999989,0.5973800531057525
,,,,,,,,,,
5.0,-48.863459810629365,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,2.2936425777949614
,,,,,,,,,,
5.0,-53.35128896260949,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.1999999999999886,0.5428913685561096
5.0,-209.09520353859955,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,4.800000000000011,0.7326040260097
5.0,,0.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,8.100000000000023,0.0
,,,,,,,,,,
5.0,107.41696730942033,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.6000000000000227,1.5610385517852614
5.0,-108.32694726656973,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,0.5428913685561096
5.0,61.92913815744032,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.199999999999989,0.5115973159935333
5.0,-40.81477641854974,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.800000000000011,0.7326040260097
5.0,71.4413090054602,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,15.800000000000011,0.10897736909928588
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.0,42.97399801824588,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,1.0,0.0
6.0,-39.97594987528612,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.9,0.0
6.0,-47.92589776881812,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,8.6,0.48840268400646664
6.0,57.12415433765,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,11.4,0.3531787111025192
6.0,-34.825793555882,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,14.5,0.945511315450357
6.0,-85.775741449414,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,18.4,0.0
,,,,,,,,,,
,,,,,,,,,,
6.0,-18.62558513000988,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.8999999999999986,0.6468212888974807
6.0,23.42446697645812,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.399999999999999,0.4571086314438904
6.0,-1.5254809170737644,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.899999999999999,0.0
6.0,92.52457118939424,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.100000000000001,0.0
6.0,-174.42537670413776,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,14.899999999999999,1.0050474487579146
,,,,,,,,,,
6.0,45.674727508798355,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.5,0.1634660536489288
,,,,,,,,,,
6.0,-194.22516827826564,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,0.29999999999999716,0.5428913685561096
